A,Z,N,NJ,E(MeV),Ex(MeV),J,T_z,p,lowest Ex
18,8,1,1,-11.932,0.000,0,1,+1,0.000
18,8,2,1,-9.933,1.998,2,1,+1,1.998
18,8,3,1,-8.405,3.527,4,1,+1,3.527
20,8,1,1,-23.632,0.000,0,2,+1,0.000
20,8,2,1,-21.886,1.746,2,2,+1,1.746
20,8,3,1,-20.013,3.619,4,2,+1,3.619
22,8,1,1,-34.498,0.000,0,3,+1,0.000
22,8,2,1,-31.340,3.158,2,3,+1,3.158
22,8,3,1,-27.764,6.733,4,3,+1,6.733
24,8,1,1,-41.225,0.000,0,4,+1,0.000
24,8,2,1,-36.182,5.043,2,4,+1,5.043
24,8,3,1,-33.620,7.605,4,4,+1,7.605
26,8,1,1,-40.869,0.000,0,5,+1,0.000
26,8,2,1,-38.758,2.111,2,5,+1,2.111
26,8,3,1,-32.658,8.211,4,5,+1,8.211
24,12,1,1,-87.104,0.000,0,0,+1,0.000
26,12,1,1,-105.521,0.000,0,1,+1,0.000
28,12,1,1,-120.500,0.000,0,2,+1,0.000
30,12,1,1,-130.474,0.000,0,3,+1,0.000
32,12,1,1,-136.315,0.000,0,4,+1,0.000
28,14,1,1,-135.861,0.000,0,0,+1,0.000
30,14,1,1,-154.754,0.000,0,1,+1,0.000
32,14,1,1,-170.519,0.000,0,2,+1,0.000
34,14,1,1,-182.707,0.000,0,3,+1,0.000
